model,num_documents,gold_index,n_examples,n_failed,best_subspan_em_first_line,best_subspan_em_full,em_first_line_ci_low,em_first_line_ci_high,em_full_ci_low,em_full_ci_high,ref_gold_index,em_first_line_diff_vs_ref,em_first_line_diff_ci_low,em_first_line_diff_ci_high,em_first_line_diff_excludes_zero,em_full_diff_vs_ref,em_full_diff_ci_low,em_full_diff_ci_high,em_full_diff_excludes_zero
gpt-4.1,30,0,100,0,0.62,0.77,0.52,0.71,0.69,0.85,0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
gpt-4.1,30,4,100,0,0.62,0.73,0.52,0.71,0.64,0.82,0,0.0,-0.06000000000000005,0.06000000000000005,False,-0.040000000000000036,-0.10999999999999999,0.029999999999999916,False
gpt-4.1,30,9,100,0,0.59,0.72,0.49,0.69,0.63,0.8,0,-0.030000000000000027,-0.09024999999999984,0.030000000000000027,False,-0.050000000000000044,-0.13,0.020000000000000018,False
gpt-4.1,30,14,100,0,0.62,0.71,0.52,0.71,0.62,0.8,0,0.0,-0.07000000000000006,0.07000000000000006,False,-0.06000000000000005,-0.13,0.010000000000000009,False
gpt-4.1,30,19,100,0,0.6,0.7,0.5,0.7,0.61,0.79,0,-0.020000000000000018,-0.09000000000000008,0.050000000000000044,False,-0.07000000000000006,-0.15000000000000002,0.010000000000000009,False
gpt-4.1,30,24,100,0,0.59,0.7,0.49,0.69,0.61,0.79,0,-0.030000000000000027,-0.09999999999999998,0.040000000000000036,False,-0.07000000000000006,-0.13,-0.010000000000000009,True
gpt-4.1,30,29,100,0,0.6,0.75,0.5,0.7,0.66,0.83,0,-0.020000000000000018,-0.08999999999999997,0.050000000000000044,False,-0.020000000000000018,-0.08999999999999997,0.050000000000000044,False
