model,num_documents,gold_index,n_examples,n_failed,best_subspan_em_first_line,best_subspan_em_full,em_first_line_ci_low,em_first_line_ci_high,em_full_ci_low,em_full_ci_high,ref_gold_index,em_first_line_diff_vs_ref,em_first_line_diff_ci_low,em_first_line_diff_ci_high,em_first_line_diff_excludes_zero,em_full_diff_vs_ref,em_full_diff_ci_low,em_full_diff_ci_high,em_full_diff_excludes_zero
gpt-4.1,10,0,100,0,0.71,0.83,0.62,0.8,0.76,0.9,0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
gpt-4.1,10,4,100,0,0.68,0.76,0.59,0.77,0.67,0.84,0,-0.029999999999999916,-0.08000000000000007,0.020000000000000018,False,-0.06999999999999995,-0.13,-0.019999999999999907,True
gpt-4.1,10,9,100,0,0.71,0.77,0.62,0.8,0.69,0.85,0,0.0,-0.050000000000000044,0.05999999999999994,False,-0.05999999999999994,-0.12,-0.010000000000000009,True
