model,num_documents,gold_index,n_examples,n_failed,best_subspan_em_first_line,best_subspan_em_full,em_first_line_ci_low,em_first_line_ci_high,em_full_ci_low,em_full_ci_high,ref_gold_index,em_first_line_diff_vs_ref,em_first_line_diff_ci_low,em_first_line_diff_ci_high,em_first_line_diff_excludes_zero,em_full_diff_vs_ref,em_full_diff_ci_low,em_full_diff_ci_high,em_full_diff_excludes_zero
gpt-4.1,200,0,100,0,0.58,0.75,0.48,0.68,0.66,0.84,0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
gpt-4.1,200,44,100,0,0.54,0.67,0.44,0.64,0.58,0.76,0,-0.039999999999999925,-0.10000000000000003,0.020000000000000018,False,-0.07999999999999996,-0.14,-0.020000000000000018,True
gpt-4.1,200,88,100,0,0.58,0.68,0.48,0.68,0.59,0.77,0,0.0,-0.06999999999999995,0.06999999999999995,False,-0.06999999999999995,-0.1399999999999999,-0.010000000000000009,True
gpt-4.1,200,111,100,0,0.57,0.68,0.47,0.67,0.59,0.77,0,-0.010000000000000009,-0.06000000000000005,0.040000000000000036,False,-0.06999999999999995,-0.13,-0.019999999999999907,True
gpt-4.1,200,155,100,0,0.56,0.68,0.46,0.66,0.59,0.77,0,-0.019999999999999907,-0.08000000000000007,0.040000000000000036,False,-0.06999999999999995,-0.13,-0.019999999999999907,True
gpt-4.1,200,199,100,0,0.6,0.74,0.5,0.6902499999999963,0.65,0.82,0,0.020000000000000018,-0.040000000000000036,0.08000000000000007,False,-0.010000000000000009,-0.07999999999999996,0.050000000000000044,False
