model,num_documents,gold_index,n_examples,n_failed,best_subspan_em_first_line,best_subspan_em_full,em_first_line_ci_low,em_first_line_ci_high,em_full_ci_low,em_full_ci_high,ref_gold_index,em_first_line_diff_vs_ref,em_first_line_diff_ci_low,em_first_line_diff_ci_high,em_first_line_diff_excludes_zero,em_full_diff_vs_ref,em_full_diff_ci_low,em_full_diff_ci_high,em_full_diff_excludes_zero
gemini-2.5-flash,200,0,100,0,0.65,0.76,0.56,0.74,0.67,0.84,0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
gemini-2.5-flash,200,44,100,0,0.59,0.63,0.49,0.69,0.53,0.72,0,-0.06000000000000005,-0.13,0.009999999999999898,False,-0.13,-0.20999999999999996,-0.050000000000000044,True
gemini-2.5-flash,200,88,100,0,0.59,0.65,0.49,0.69,0.55,0.74,0,-0.06000000000000005,-0.13,0.010000000000000009,False,-0.10999999999999999,-0.19000000000000006,-0.030000000000000027,True
gemini-2.5-flash,200,111,100,0,0.58,0.65,0.48,0.68,0.55,0.74,0,-0.07000000000000006,-0.1399999999999999,-0.010000000000000009,True,-0.10999999999999999,-0.18999999999999995,-0.030000000000000027,True
gemini-2.5-flash,200,155,100,0,0.59,0.63,0.49,0.68,0.53,0.72,0,-0.06000000000000005,-0.13,0.009999999999999898,False,-0.13,-0.20999999999999996,-0.05999999999999994,True
gemini-2.5-flash,200,199,100,0,0.62,0.69,0.52,0.71,0.6,0.78,0,-0.030000000000000027,-0.10999999999999999,0.04999999999999993,False,-0.07000000000000006,-0.15000000000000002,0.010000000000000009,False
