model,num_documents,gold_index,n_examples,n_failed,best_subspan_em_first_line,best_subspan_em_full,em_first_line_ci_low,em_first_line_ci_high,em_full_ci_low,em_full_ci_high,ref_gold_index,em_first_line_diff_vs_ref,em_first_line_diff_ci_low,em_first_line_diff_ci_high,em_first_line_diff_excludes_zero,em_full_diff_vs_ref,em_full_diff_ci_low,em_full_diff_ci_high,em_full_diff_excludes_zero
gemini-2.5-flash,20,0,300,0,0.7166666666666667,0.7733333333333333,0.6633333333333333,0.7666666666666667,0.7233333333333334,0.82,0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
gemini-2.5-flash,20,4,300,0,0.7166666666666667,0.76,0.6666666666666666,0.7666666666666667,0.71,0.8066666666666666,0,0.0,-0.040000000000000036,0.040000000000000036,False,-0.013333333333333308,-0.050000000000000044,0.023333333333333317,False
gemini-2.5-flash,20,9,300,0,0.7033333333333334,0.7333333333333333,0.6533333333333333,0.7533333333333333,0.6833333333333333,0.7833333333333333,0,-0.013333333333333308,-0.050000000000000044,0.023333333333333428,False,-0.040000000000000036,-0.07666666666666666,-0.0033333333333332993,True
gemini-2.5-flash,20,14,300,0,0.69,0.7333333333333333,0.6366666666666667,0.7433333333333333,0.6833333333333333,0.7833333333333333,0,-0.026666666666666727,-0.06666666666666665,0.01333333333333342,False,-0.040000000000000036,-0.07666666666666666,-0.0033333333333332993,True
gemini-2.5-flash,20,19,300,0,0.7166666666666667,0.7566666666666667,0.6666666666666666,0.7666666666666667,0.7066666666666667,0.8033333333333333,0,0.0,-0.043333333333333335,0.043333333333333335,False,-0.016666666666666607,-0.05666666666666664,0.023333333333333317,False
