model,num_documents,gold_index,n_examples,n_failed,best_subspan_em_first_line,best_subspan_em_full,em_first_line_ci_low,em_first_line_ci_high,em_full_ci_low,em_full_ci_high,ref_gold_index,em_first_line_diff_vs_ref,em_first_line_diff_ci_low,em_first_line_diff_ci_high,em_first_line_diff_excludes_zero,em_full_diff_vs_ref,em_full_diff_ci_low,em_full_diff_ci_high,em_full_diff_excludes_zero
gemini-2.5-flash,500,0,100,0,0.66,0.77,0.56,0.75,0.68,0.85,0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
gemini-2.5-flash,500,111,100,0,0.56,0.62,0.46,0.66,0.52,0.71,0,-0.09999999999999998,-0.17999999999999994,-0.020000000000000018,True,-0.15000000000000002,-0.24,-0.06999999999999995,True
gemini-2.5-flash,500,222,100,0,0.55,0.64,0.45,0.65,0.5497500000000003,0.73,0,-0.10999999999999999,-0.18999999999999995,-0.030000000000000027,True,-0.13,-0.21999999999999997,-0.040000000000000036,True
gemini-2.5-flash,500,277,100,0,0.58,0.62,0.48,0.68,0.52,0.71,0,-0.08000000000000007,-0.15000000000000002,-0.010000000000000009,True,-0.15000000000000002,-0.22999999999999998,-0.07000000000000006,True
gemini-2.5-flash,500,388,100,0,0.57,0.63,0.47,0.67,0.53,0.72,0,-0.09000000000000008,-0.16000000000000003,-0.019999999999999907,True,-0.14,-0.22000000000000008,-0.05999999999999994,True
gemini-2.5-flash,500,499,100,0,0.62,0.66,0.52,0.71,0.5697500000000002,0.75,0,-0.040000000000000036,-0.12,0.040000000000000036,False,-0.10999999999999999,-0.19999999999999996,-0.020000000000000018,True
