model,num_documents,gold_index,n_examples,n_failed,best_subspan_em_first_line,best_subspan_em_full,em_first_line_ci_low,em_first_line_ci_high,em_full_ci_low,em_full_ci_high,ref_gold_index,em_first_line_diff_vs_ref,em_first_line_diff_ci_low,em_first_line_diff_ci_high,em_first_line_diff_excludes_zero,em_full_diff_vs_ref,em_full_diff_ci_low,em_full_diff_ci_high,em_full_diff_excludes_zero
claude-sonnet-4-6,30,0,100,0,0.38,0.73,0.29,0.48,0.64,0.81,0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
claude-sonnet-4-6,30,4,100,0,0.42,0.72,0.32,0.52,0.63,0.8,0,0.03999999999999998,-0.02999999999999997,0.10999999999999999,False,-0.010000000000000009,-0.06000000000000005,0.040000000000000036,False
claude-sonnet-4-6,30,9,100,0,0.4,0.68,0.31,0.5,0.59,0.77,0,0.020000000000000018,-0.06,0.10000000000000003,False,-0.04999999999999993,-0.12,0.020000000000000018,False
claude-sonnet-4-6,30,14,100,0,0.45,0.73,0.35,0.55,0.64,0.81,0,0.07,-0.010000000000000009,0.15000000000000002,False,0.0,-0.06000000000000005,0.06000000000000005,False
claude-sonnet-4-6,30,19,100,0,0.42,0.71,0.32,0.52,0.62,0.79,0,0.03999999999999998,-0.03999999999999998,0.12,False,-0.020000000000000018,-0.08000000000000007,0.040000000000000036,False
claude-sonnet-4-6,30,24,100,0,0.41,0.7,0.32,0.51,0.61,0.79,0,0.02999999999999997,-0.040000000000000036,0.10999999999999999,False,-0.030000000000000027,-0.09000000000000008,0.030000000000000027,False
claude-sonnet-4-6,30,29,100,0,0.41,0.7,0.32,0.51,0.61,0.79,0,0.02999999999999997,-0.04999999999999999,0.10999999999999999,False,-0.030000000000000027,-0.09000000000000008,0.030000000000000027,False
